DB00806	DB00794
DB04485	DB00432
DB00958	DB06717
DB00437	DB04854
DB14357	DB13153
DB01131	DB01117
DB12965	DB09325
DB00085	DB09274
DB00281	DB02772
DB01378	DB01268
DB11885	DB09330
DB15043	DB06334
DB00633	DB00295
DB06688	DB08735
DB09126	DB00044
DB01378	DB11077
DB00709	DB00718
DB11581	DB05773
DB08875	DB00947
DB00019	DB00099
DB09037	DB09035
DB00022	DB00442
DB00625	DB00879
DB01378	DB11885
DB00820	DB00706
DB00480	DB02546
DB00654	DB01194
DB12150	DB08992
DB00958	DB00928
DB00162	DB00163
DB06626	DB11945
DB01606	DB01413
DB00977	DB00304
DB00184	DB06774
DB00683	DB01221
DB03017	DB00338
DB06719	DB01006
DB16424	DB00762
DB00800	DB12754
DB00966	DB00641
DB00715	DB00490
DB09038	DB08882
DB00441	DB09078
DB00625	DB00495
DB01378	DB11714
DB00633	DB00899
DB00025	DB16093
DB06366	DB00072
DB01001	DB00332
DB01076	DB00945
DB00905	DB00484
DB06287	DB00112
DB01378	DB00333
DB06192	DB00515
DB00177	DB00999
DB00052	DB08869
DB15404	DB01225
DB05143	DB00987
DB16424	DB00977
DB11094	DB12938
DB11581	DB08935
DB01378	DB00043
DB01309	DB00047
DB00394	DB12754
DB00945	DB01098
DB00196	DB11945
DB11999	DB00987
DB14100	DB11300
DB00331	DB00882
DB01378	DB08935
DB00066	DB13949
DB00755	DB00073
DB00515	DB14110
DB01229	DB00112
DB08912	DB08911
DB01181	DB14776
DB13008	DB00503
DB09502	DB14726
DB00480	DB06334
DB00437	DB00993
DB01221	DB00653
DB00480	DB00291
DB00706	DB01591
DB00675	DB00072
DB01006	DB01259
DB11581	DB00112
DB00526	DB09035
DB13076	DB11714
DB00062	DB00062 
DB00544	DB03496
DB00860	DB05786
DB11723	DB00099
DB01229	DB12754
DB08820	DB09274
DB12525	DB00020
DB00966	DB01115
DB01229	DB15219
DB08820	DB05016
DB00958	DB05109
DB01378	DB11711
DB16424	DB08930
DB00633	DB00297
DB09074	DB05109
DB11885	DB09035
DB11885	DB00773
DB16424	DB00526
DB00619	DB00744
DB02546	DB00928
DB00286	DB06401
DB13145	DB01248
DB01248	DB00860
DB06663	DB00082
DB00471	DB06282
DB00853	DB05382
DB00480	DB00928
DB00005	DB01378
DB06700	DB01378
DB00441	DB01645
DB00291	DB00073
DB00355	DB09060
DB12754	DB00036
DB06205	DB09331
DB06292	DB01016
DB00441	DB00910
DB01378	DB15408
DB00297	DB01236
DB01118	DB00390
DB06674	DB00563
DB00441	DB00062
DB00571	DB01378
DB01378	DB00714
DB09053	DB08935
DB01378	DB08934
DB15043	DB00396
DB00999	DB00275
DB14776	DB00515
DB00938	DB01409
DB11963	DB09330
DB09074	DB00762
DB08818	DB00620
DB00958	DB09330
DB11689	DB00317
DB11940	DB00441
DB01378	DB00205
DB14130	DB03085
DB08822	DB00310
DB01378	DB12754
DB00988	DB00695
DB01132	DB01378
DB01307	DB08882
DB11679	DB01229
DB00938	DB04465
DB00563	DB08895
DB12893	DB09037
DB09279	DB00999
DB00834	DB08871
DB09126	DB00052
DB01378	DB00317
DB00773	DB02546
DB00361	DB00515
DB01378	DB00052
DB06205	DB01306
DB00945	DB00281
DB01378	DB09274
DB08893	DB01591
DB00445	DB09274
DB00545	DB00635
DB09350	DB11087
DB00448	DB00788
DB00945	DB00975
DB00316	DB00241
DB00999	DB00384
DB13257	DB00158
DB01601	DB00503
DB00698	DB00698
DB00338	DB01390
DB00951	DB01045
DB00741	DB03904
DB00281	DB00750
DB00281	DB09085
DB00787	DB00741
DB00783	DB00367
DB00977	DB06713
DB04272	DB09510
DB00446	DB14539
DB09096	DB00199
DB00898	DB09341
DB01015	DB00440
DB13954	DB13943
DB09341	DB09153
DB09341	DB00761
DB09364	DB00277
DB13956	DB13944
DB09446	DB09422
DB00761	DB09153
DB13954	DB00603
DB01764	DB01369
DB00446	DB00860
DB01234	DB00684
DB04815	DB00646
DB09325	DB08604
DB00825	DB09543
DB00760	DB12107
DB00977	DB14583
DB00977	DB00294
DB00297	DB00814
DB03166	DB00741
DB03166	DB14518
DB03166	DB01260
DB09414	DB09413
DB00742	DB01638
DB09516	DB00755
DB09537	DB02325
DB11751	DB08864
DB01114	DB00318
DB14596	DB00684
DB00537	DB01234
DB00359	DB01581
DB06723	DB09281
DB00977	DB00717
DB00945	DB00338
DB00999	DB00421
DB00880	DB00968
DB00999	DB00968
DB01395	DB00783
DB00796	DB00999
DB00335	DB00310
DB00999	DB01029
DB00945	DB00241
DB01197	DB00999
DB00945	DB00395
DB00880	DB00206
DB01394	DB01032
DB00709	DB00495
DB00436	DB01203
DB00310	DB00206
DB00232	DB00206
DB01395	DB00977
DB00927	DB01050
DB00437	DB11560
DB01089	DB00232
DB01357	DB09371
DB00945	DB00371
DB00783	DB00957
DB00205	DB01299
DB00999	DB00206
DB00774	DB00206
DB01325	DB00206
DB00999	DB00722
DB00475	DB09381
DB00206	DB01021
DB00945	DB00423
DB00286	DB00371
DB09123	DB13956
DB11936	DB00973
DB01395	DB12235
DB01089	DB00999
DB09065	DB01264
DB01324	DB00206
DB00999	DB00960
DB01357	DB00717
DB00823	DB01357
DB00977	DB09389
DB00977	DB00823
DB00977	DB00957
DB00286	DB00603
DB00415	DB01032
DB06203	DB00331
DB06292	DB00331
DB01067	DB00331
DB01016	DB00331
DB00912	DB00331
DB00412	DB00331
DB06335	DB00331
DB01261	DB00331
DB00412	DB00222
DB01132	DB00222
DB06203	DB01132
DB00641	DB01261
DB06292	DB06335
DB00956	DB01050
DB00295	DB00704
DB00497	DB00704
DB00652	DB01183
DB00316	DB00318
DB00497	DB00316
DB00652	DB00316
DB00647	DB00316
DB00945	DB00318
DB00956	DB00945
DB00497	DB00945
DB00652	DB00945
DB00584	DB00999
DB00691	DB00999
DB00881	DB00999
DB13919	DB00999
DB00876	DB00999
DB00678	DB00999
DB00612	DB00999
DB00264	DB00999
DB00571	DB00999
DB00373	DB00999
DB00381	DB00790
DB00343	DB00584
DB01023	DB00584
DB00661	DB00519
DB00381	DB00275
DB00594	DB00999
DB00575	DB00310
DB01275	DB00999
DB00457	DB01324
DB00381	DB01076
DB00381	DB09026
DB09026	DB00999
DB04861	DB00177
DB05134	DB01169
DB00515	DB05109
DB00515	DB01030
DB00515	DB12410
DB00317	DB00762
DB05134	DB00773
DB13132	DB09241
DB00530	DB00642
DB00188	DB02546
DB06448	DB00188
DB00207	DB00438
DB00188	DB00072
DB00482	DB07715
DB12442	DB01169
DB01229	DB06448
DB01262	DB00544
DB04960	DB00399
DB00203	DB01088
DB00688	DB12617
DB01229	DB05109
DB00515	DB00531
DB00586	DB00316
DB00415	DB00080
DB00798	DB00512
DB00080	DB01045
DB12054	DB00584
DB00796	DB00178
DB00625	DB00220
DB01232	DB01601
DB00563	DB00544
DB00625	DB00709
DB12153	DB00393
DB09241	DB00358
DB00755	DB04297
DB00627	DB00641
DB00415	DB01598
DB00362	DB00681
DB13132	DB11672
DB00997	DB05109
DB00207	DB01598
DB05134	DB00987
DB00681	DB06440
DB01223	DB00277
DB00537	DB01044
DB00950	DB01032
DB00544	DB11998
DB00439	DB01241
DB00091	DB00877
DB01098	DB00091
DB01098	DB01241
DB00696	DB00201
DB00544	DB02380
DB00997	DB01229
DB01440	DB15584
DB00682	DB00908
DB00586	DB00908
DB00688	DB01045
DB00072	DB06233
DB09241	DB00468
